"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"368","Ibarruri (Muxika)","soltera","soltéra","śoltéra","2482"
"369","Igoa","nesketan izandu","nésketan ízandú","néśketan ísandú:","2482"
"370","Ikaztegieta","amasoltera","amasoltéra","amaśoltéra","2482"
"371","Irisarri","bastartile","bástarrtilé","báśtar̄tilé","2482"
"372","Irisarri","pazko erramu beno leen ina","pázko erramú béno leén iná","pásko er̄amú βéno leén iná","2482"
"373","Izturitze","haurdun","haurrdun","hau̯r̄ðun","2482"
"374","Izturitze","bastardun","bastarrdun","baśtar̄ðun","2482"
"375","Izturitze","haurrin","haurrin","hau̯r̄in","2482"
"376","Jaurrieta","altzindu dela","altzíndu déla","altsíndu ðéla","2482"
"377","Jutsi","bastartaekin izan","bastarrtaekin izan","baśtar̄taekin isan","2482"
"378","Jutsi","bastarta baik","bastarrta baik","baśtar̄ta βai̯k","2482"
"379","Larrabetzu","amasoltera","amasóltéra","amaśóltéra","2482"
"380","Larrabetzu","yasoneko","yasóneko","ǰaśóneko","2482"
"381","Larzabale","haur ina","háurr ina","háu̯r̄ ina","2482"
"382","Lasarte-Oria","solteretan izan du familiya","sólteretán izán du fámiliyá","śólteretán isán du fámiliǰá","2482"
"383","Lasarte-Oria","soltera","solterá","śolterá","2482"
"384","Laukiz","amasoltera","amasoltéra","amaśoltéra","2482"
"385","Legazpi","amaezkonbage","amaezkombage","amaeskombaɣe","2482"
"386","Leintz Gatzaga","amasoltera","amásoltera","amáśoltera","2482"
"387","Leioa","soltera","soltera","śoltera","2482"
"388","Leitza","solteratan izandu","sólteratán izándu","śólteratán isándu","2482"
"389","Lekeitio","amasoltera","amásoltera","amáśoltera","2482"
"390","Lemoa","soltera","soltéra","śoltéra","2482"
"391","Lemoa","yasoa","yasóa","ǰaśóa","2482"
"392","Lemoiz","amasoltera","amásoltera","amáśoltera","2482"
"393","Luzaide / Valcarlos","erramu baino leen","errámu báiño leén","er̄ámu bái̯ɲo leén","2482"
"394","Makea","erramu aitzin egin dute pazkoa","errámu aintzín egín dute pázkoa","er̄ámu ai̯ntsín eɣín dute páskoa","2482"
"395","Mendaro","amasoltera","amásoltera","amáśɔltera","2482"
"396","Mendata","bixialargun","bixíalarrgun","βiʃíalar̄ɣun","2482"
"397","Mendata","amasoltera","amasoltéra","amaśoltéra","2482"
"398","Mungia","yasoneko","yasonéko","ǰaśonéko","2482"
"399","Oderitz","amasoltera","ámasólterá","ámaśɔ́lterá","2482"
"400","Oiartzun","solteratan izandua","sólteratán izanduá","śólteratán isanduá","2482"
"401","Oñati","soltera","soltéra","śoltéra","2482"
"402","Ondarroa","neskasoltera","neskásoltera","neśkáśoltera","2482"
"403","Orexa","solteratan izan","sólteratan ízan","śólteratan ísan","2482"
"404","Orozko","amasoltera","amásoltera","amáśoltera","2482"
"405","Otxandio","amasoltera","amásoltera","amáśoltera","2482"
"406","Pagola","bastarta egin","bastárta egin","baśtárta eɣin","2482"
"407","Pasaia","neskaandre","néskáandré","néśkáandré","2482"
"408","Pasaia","neska","néská","néśká","2482"
"409","Pasaia","ezkongaddetan izan","eSZkóngaddetan iSZan","es̟kóŋgaddetan is̟an","2482"
"410","Santa Grazi","haurra badizu","háurra badízü","háu̯r̄a βaðísy","2482"
"411","Santa Grazi","bastarpa badizu","bastarrpa badizü","baśtar̄pa βaðisy","2482"
"412","Senpere","bazkoak in tu erramu aintzinean","bázkoak in tú errámu aintzínean","báskoak in tú er̄ámu ai̯ntsínean","2482"
"413","Sondika","amasoltera","amásoltera","amáśoltera","2482"
"414","Suarbe","amasoltera","ámasoltéra","ámaśoltéra","2482"
"415","Tolosa","solteratan","sólteratan","śólteratan","2482"
"416","Tolosa","amasoltera","ámasolterá","ámaśolterá","2482"
"417","Urretxu","solteran familiya izindakua","soltéran fámiliyaizíndakuá","śoltéran fámiliǰai̯síndakuá:","2482"
"418","Urretxu","solteratan izindakua","soltératán izíndakuá","śoltératán isíndakuá","2482"
"419","Ürrüstoi","ezkuntu gabe haur bazin","ezkuntü gabe haur bázin","eskunty ɣaβe hau̯r βásin","2482"
"420","Uztaritze","orrek bazko izan dik arramu bano leen","orrék bazkóizan dík arramú bano léen","or̄ék βaskói̯san dík ar̄amú βano léen","2482"
"421","Zeanuri","andrasoltera","andrrasoltéra","andr̄aśoltéra","2482"
"422","Zeberio","amasoltera","amasoltéra","amaśoltéra","2482"
"423","Zegama","soltera","solterá","śɔlterá","2482"
"424","Zollo (Arrankudiaga)","amasoltera","amásoltera","amáśoltera","2482"
"425","Zornotza","amasoltera","amasoltéra","amaśoltéra","2482"
"426","Zugarramurdi","ume ina duela","úme ína duéla","úme ína ðuéla","2482"
"427","Abaurregaina  / Abaurrea Alta","seme","séme","śéme","2483"
"428","Ahetze","seme","semé","śemé","2483"
"429","Aia","seme","séme","śéme","2483"
"430","Aldude","seme","séme","śéme","2483"
"431","Alkotz","seme","semé","śemé","2483"
"432","Altzai","seme","séme","śéme","2483"
"433","Altzürükü","seme","séme","śéme","2483"
"434","Amezketa","seme","sémé","śémé","2483"
"435","Andoain","seme","semé","śemé","2483"
"436","Aniz","seme","semé","śemé","2483"
"437","Aramaio","seme","séme","śéme","2483"
"438","Araotz (Oñati)","seme","séme","śéme","2483"
